Date,Sales
2019-01-01,224.83570765056163
2019-01-02,193.08678494144075
2019-01-03,232.38442690503462
2019-01-04,276.15149282040124
2019-01-05,188.2923312638332
2019-01-06,188.29315215254098
2019-01-07,278.9606407753696
2019-01-08,238.37173645764545
2019-01-09,176.52628070325238
2019-01-10,227.12800217929822
2019-01-11,176.82911535937689
2019-01-12,176.71351232148714
2019-01-13,212.0981135783017
2019-01-14,104.33598776711011
2019-01-15,113.75410837434836
2019-01-16,171.88562353795137
2019-01-17,149.35844398327882
2019-01-18,215.7123666297637
2019-01-19,154.59879622393944
2019-01-20,129.38481493323542
2019-01-21,273.2824384460777
2019-01-22,188.7111849756732
2019-01-23,203.3764102343962
2019-01-24,128.76259068932717
2019-01-25,172.78086377374086
2019-01-26,205.5461294854933
2019-01-27,142.45032112888487
2019-01-28,218.7849009172836
2019-01-29,169.96806550405975
2019-01-30,185.41531251033615
2019-01-31,169.91466938853014
2019-02-01,292.6139092254469
2019-02-02,199.3251387631033
2019-02-03,147.114453552205
2019-02-04,241.12724560515946
2019-02-05,138.9578175014489
2019-02-06,210.44317975023776
2019-02-07,102.01649380601123
2019-02-08,133.59069755507846
2019-02-09,209.84306179345617
2019-02-10,236.92332899977052
2019-02-11,208.56841405949854
2019-02-12,194.21758588058796
2019-02-13,184.94481522053556
2019-02-14,126.07390048162863
2019-02-15,164.00778958026456
2019-02-16,176.96806145201063
2019-02-17,252.85611131094578
2019-02-18,217.18091447842306
2019-02-19,111.8479922318633
2019-02-20,216.20419846973977
2019-02-21,180.74588597918418
2019-02-22,166.15389998470206
2019-02-23,230.5838144420434
2019-02-24,251.54997612479755
2019-02-25,246.56400595580993
2019-02-26,158.03912383886808
2019-02-27,184.53938120743928
2019-02-28,216.5631715701782
2019-03-01,248.77725635611796
2019-03-02,176.0412881077355
2019-03-03,190.71705116680914
2019-03-04,144.68325129969858
2019-03-05,140.18966879596647
2019-03-06,240.6262911197099
2019-03-07,267.8120014285412
2019-03-08,196.3994939209833
2019-03-09,250.17664489460122
2019-03-10,218.0818012523817
2019-03-11,167.7440122697438
2019-03-12,218.0697802754207
2019-03-13,276.90182832329845
2019-03-14,198.20869804450243
2019-03-15,278.23218279070034
2019-03-16,69.01274479551279
2019-03-17,241.09512521876118
2019-03-18,204.35235341190855
2019-03-19,185.04963247670662
2019-03-20,204.58803882677512
2019-03-21,100.62155426995535
2019-03-22,189.01640560812442
2019-03-23,217.85562857558733
2019-03-24,273.8947022370758
2019-03-25,174.08648908631764
2019-03-26,159.5753198553406
2019-03-27,174.91214782077316
2019-03-28,245.7701058851037
2019-03-29,216.43755548298424
2019-03-30,173.51198981164805
2019-03-31,225.66337165566782
2019-04-01,122.4948217579193
2019-04-02,228.37827006260767
2019-04-03,57.40751506505792
2019-04-04,93.2222383931718
2019-04-05,70.45428904760254
2019-04-06,133.71191393920475
2019-04-07,72.15477270980696
2019-04-08,137.24045245364968
2019-04-09,87.01018832999756
2019-04-10,139.4678211450086
2019-04-11,30.848245745602185
2019-04-12,130.57020075694174
2019-04-13,121.57734299453568
2019-04-14,22.465195922915484
2019-04-15,117.65618643959994
2019-04-16,133.67955664533525
2019-04-17,188.20726313986387
2019-04-18,113.85843400241382
2019-04-19,128.3649523818309
2019-04-20,105.32887413770487
2019-04-21,0.0
2019-04-22,120.4028701385467
2019-04-23,116.97853909560229
2019-04-24,211.64247374403595
2019-04-25,77.21617377220437
2019-04-26,99.46645794986921
2019-04-27,99.10250485386231
2019-04-28,95.8562455009379
2019-04-29,128.13819475671815
2019-04-30,191.98701342489935
2019-05-01,239.55159735215233
2019-05-02,154.53062726026306
2019-05-03,270.13971554680495
2019-05-04,129.90744686038596
2019-05-05,229.34285469001352
2019-05-06,309.5227812904989
2019-05-07,150.4731837434656
2019-05-08,171.6851135198614
2019-05-09,204.98256825438207
2019-05-10,174.82621729419003
2019-05-11,122.46682844669337
2019-05-12,203.42814874030137
2019-05-13,146.88481431369476
2019-05-14,223.67962153175907
2019-05-15,154.02878828830984
2019-05-16,277.496720250877
2019-05-17,160.83733538318813
2019-05-18,183.89692418971623
2019-05-19,240.67586086848348
2019-05-20,138.45678417830223
2019-05-21,211.37299673020647
2019-05-22,265.3571377141214
2019-05-23,119.62583827193862
2019-05-24,209.2316929266152
2019-05-25,212.99413971242117
2019-05-26,239.09114358886552
2019-05-27,138.1524644560959
2019-05-28,133.9771693457862
2019-05-29,226.09707828084487
2019-05-30,214.8492336616593
2019-05-31,212.52464251729384
2019-06-01,217.3224104748488
2019-06-02,165.99876392107547
2019-06-03,211.6126848580502
2019-06-04,214.65362366493406
2019-06-05,164.2824290986816
2019-06-06,293.28872555723785
2019-06-07,223.69164604558938
2019-06-08,140.43482513986757
2019-06-09,232.82768043169148
2019-06-10,151.26591648863393
2019-06-11,239.3542301871226
2019-06-12,257.9297789503702
2019-06-13,158.96588408241448
2019-06-14,248.16880646221608
2019-06-15,220.63904634682493
2019-06-16,241.1030079997245
2019-06-17,294.8396491326974
2019-06-18,187.73059419985648
2019-06-19,162.31319178212553
2019-06-20,155.52427851872383
2019-06-21,159.2094857517281
2019-06-22,196.1449145292948
2019-06-23,217.0575987408322
2019-06-24,213.83453996650096
2019-06-25,241.35916245180118
2019-06-26,200.65009459389535
2019-06-27,272.67670385786585
2019-06-28,186.7671583381022
2019-06-29,336.00845832948096
2019-06-30,231.28336738825033
2019-07-01,68.06305822201489
2019-07-02,89.08365059752512
2019-07-03,146.04777115994904
2019-07-04,98.96398842460304
2019-07-05,146.0593082410964
2019-07-06,131.0042586016187
2019-07-07,67.94721629539694
2019-07-08,64.05428505116036
2019-07-09,51.58233782442623
2019-07-10,68.75163734799821
2019-07-11,127.13582504843441
2019-07-12,167.53292166061996
2019-07-13,39.79105896890485
2019-07-14,107.62386402323216
2019-07-15,148.1927740872416
2019-07-16,34.53592379059475
2019-07-17,132.1879229082522
2019-07-18,119.14314231815374
2019-07-19,68.04363983698492
2019-07-20,137.42199658997015
2019-07-21,180.9274789252678
2019-07-22,217.35408863659268
2019-07-23,124.85495070499597
2019-07-24,76.52537205169529
2019-07-25,102.85051848793307
2019-07-26,210.35346676854442
2019-07-27,164.8581499762955
2019-07-28,185.44507811752737
2019-07-29,263.376119728645
2019-07-30,118.25001285437934
2019-07-31,197.42279236436167
2019-08-01,247.70008817466012
2019-08-02,232.5695625652899
2019-08-03,184.23653776798272
2019-08-04,237.94846102466337
2019-08-05,161.35873927312142
2019-08-06,188.15906966299957
2019-08-07,175.73182260854483
2019-08-08,204.09370696931612
2019-08-09,315.73292833367543
2019-08-10,106.6367403704126
2019-08-11,234.31300951872566
2019-08-12,119.36420644051742
2019-08-13,176.40340671052832
2019-08-14,254.4475298483683
2019-08-15,203.21400095477313
